TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
FI;41.036.490/0001-63;;INTER ACCESS ARBOR FC DE FI FINANCEIRO EM AÇÕES BDR NÍVEL I RESPONSABILIDADE LIMITADA;2025-07-31;Operações Compromissadas Lastreadas em Títulos Públicos Federais;3.16
CLASSES - FIF;41.088.110/0001-34;;LEGACY CAPITAL MFO FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de Fundos de Investimento 555;100.06
CLASSES - FIF;41.088.110/0001-34;;LEGACY CAPITAL MFO FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Outros;0.12
CLASSES - FIF;41.196.740/0001-22;;TRIGONO DELPHOS INCOME INSTITUCIONAL FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;99.60
CLASSES - FIF;41.196.740/0001-22;;TRIGONO DELPHOS INCOME INSTITUCIONAL FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.17
CLASSES - FIF;41.196.740/0001-22;;TRIGONO DELPHOS INCOME INSTITUCIONAL FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Títulos públicos federais;0.43
CLASSES - FIF;41.256.441/0001-36;;GENOA CAPITAL RADAR MFO FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO RESPONSABILIDADE LIMITADA;2025-07-31;Outras Cotas de Fundos de Investimento;100.13
CLASSES - FIF;41.256.441/0001-36;;GENOA CAPITAL RADAR MFO FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO RESPONSABILIDADE LIMITADA;2025-07-31;Outros;0.04
CLASSES - FIF;41.283.095/0001-85;;ÁFIRA TERMO FUNDING CASH FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Cotas de Fundos de Investimento 409;61.87
CLASSES - FIF;41.283.095/0001-85;;ÁFIRA TERMO FUNDING CASH FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Derivativos;-0.19
CLASSES - FIF;41.283.095/0001-85;;ÁFIRA TERMO FUNDING CASH FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Outras Aplicações;12.38
CLASSES - FIF;41.283.095/0001-85;;ÁFIRA TERMO FUNDING CASH FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Títulos Públicos Federais;26.07
CLASSES - FIF;41.319.909/0001-94;;CONEXÃO VINCI MOSAICO FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Ações;88.61
CLASSES - FIF;41.319.909/0001-94;;CONEXÃO VINCI MOSAICO FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;10.23
CLASSES - FIF;41.319.909/0001-94;;CONEXÃO VINCI MOSAICO FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Títulos públicos federais;0.33
CLASSES - FIF;41.333.328/0001-07;;VOKIN GBV ACONCÁGUA ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;98.27
CLASSES - FIF;41.333.328/0001-07;;VOKIN GBV ACONCÁGUA ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.43
CLASSES - FIF;41.333.328/0001-07;;VOKIN GBV ACONCÁGUA ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Títulos públicos federais;1.17
CLASSES - FIF;41.423.729/0001-58;;OCCAM RETORNO ABSOLUTO ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;98.29
CLASSES - FIF;41.423.729/0001-58;;OCCAM RETORNO ABSOLUTO ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.41
CLASSES - FIF;41.423.729/0001-58;;OCCAM RETORNO ABSOLUTO ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2025-07-31;Títulos públicos federais;1.12
CLASSES - FIF;41.517.570/0001-30;;WARREN MULTIGESTORES MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Cotas de Fundos de Investimento 409;94.56
CLASSES - FIF;41.517.570/0001-30;;WARREN MULTIGESTORES MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Outras Aplicações;-0.83
CLASSES - FIF;41.517.570/0001-30;;WARREN MULTIGESTORES MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO;2025-07-31;Outras Cotas de Fundos de Investimento;7.52
CLASSES - FIF;41.545.212/0001-31;;BRADESCO KAPITALO ZETA FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;99.46
CLASSES - FIF;41.545.212/0001-31;;BRADESCO KAPITALO ZETA FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.14
CLASSES - FIF;41.545.212/0001-31;;BRADESCO KAPITALO ZETA FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2025-07-31;Títulos públicos federais;0.37
CLASSES - FIF;41.562.564/0001-03;;CLAVE ALPHA MACRO MFO FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Outras Cotas de Fundos de Investimento;100.18
CLASSES - FIF;41.562.564/0001-03;;CLAVE ALPHA MACRO MFO FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Outros;0.03
CLASSES - FIF;41.629.514/0001-98;;ABSOLUTE VERTEX MFO FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Outras Cotas de Fundos de Investimento;100.12
CLASSES - FIF;41.629.514/0001-98;;ABSOLUTE VERTEX MFO FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Outros;0.08
CLASSES - FIF;41.629.941/0001-76;;UBS EVOLUTION MACRO STRATEGIES II FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESP LIMITADA;2025-07-31;Outras Cotas de Fundos de Investimento;100.00
CLASSES - FIF;41.629.941/0001-76;;UBS EVOLUTION MACRO STRATEGIES II FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESP LIMITADA;2025-07-31;Outros;0.00
CLASSES - FIF;41.687.144/0001-45;;MAG STRATEGY FIF - CLASSE DE INVESTIMENTO MULT  - RESP  LIMITADA;2025-07-31;Ações;1.37
CLASSES - FIF;41.687.144/0001-45;;MAG STRATEGY FIF - CLASSE DE INVESTIMENTO MULT  - RESP  LIMITADA;2025-07-31;Cotas de fundos de investimento 409;6.29
CLASSES - FIF;41.687.144/0001-45;;MAG STRATEGY FIF - CLASSE DE INVESTIMENTO MULT  - RESP  LIMITADA;2025-07-31;Derivativos;3.70
CLASSES - FIF;41.687.144/0001-45;;MAG STRATEGY FIF - CLASSE DE INVESTIMENTO MULT  - RESP  LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;4.91
